query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference
693,0.1,1,0.07070964574813843,0.0356450080871582,0.35374367237091064,0.20224566459655763,0.17408543825149536,0.10710824131965638,2,0.8,1,0.6,0,0.4,1,1.0,1,1.0,0.035064637660980225
349,0.1,1,0.06821019947528839,0.01802912950515747,0.4542348384857178,0.11618452072143555,0.2657974362373352,0.06375566720962525,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05018106997013092
487,0.1,1,0.14946922659873962,0.06727085709571838,0.43057286739349365,0.24035563468933105,0.1899023950099945,0.09705713987350464,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08219836950302124
733,0.1,1,0.036220043897628784,0.021741724014282225,0.25631701946258545,0.10193402767181396,0.06997045874595642,0.0416334331035614,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.014478319883346559
471,0.1,20,-0.007298663258552551,0.006940630078315735,0.4009009599685669,0.11366784572601318,0.03511495888233185,0.019950905442237855,5,26.8,0,0.0,0,0.0,0,0.0,0,0.0,-0.014239293336868287
687,0.1,1,0.08491995930671692,0.032664287090301516,0.38775062561035156,0.14003939628601075,0.21911287307739258,0.07279499769210815,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.0522556722164154
253,0.1,1,0.01860266923904419,0.009885597229003906,0.26468420028686523,0.12644455432891846,0.09466773271560669,0.05364216566085815,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.008717072010040284
333,0.1,1,0.01523473858833313,0.01708862781524658,0.3576590418815613,0.16388247013092042,0.1334172487258911,0.058720701932907106,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.0018538892269134508
34,0.1,67,-0.02237534523010254,0.003805980086326599,0.30362558364868164,0.21149741411209105,-0.010302603244781494,0.010559672117233276,-46,53.0,0,0.0,0,0.0,0,0.0,0,0.0,-0.026181325316429138
290,0.1,1,0.0006600916385650635,-0.011843615770339965,0.33492422103881836,0.1558459520339966,0.07558107376098633,0.019015932083129884,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.012503707408905029
110,0.1,1,-0.021192848682403564,0.005177098512649536,0.1596527099609375,0.08332182168960571,0.06241947412490845,0.037820637226104736,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.0263699471950531
301,0.1,1,0.05099368095397949,0.02370036244392395,0.2639680504798889,0.1168962836265564,0.06370773911476135,0.03104449510574341,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.027293318510055543
489,0.1,1,0.19060176610946655,0.11351855397224427,0.3807556629180908,0.24001705646514893,0.21961840987205505,0.13343036770820618,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.07708321213722229
154,0.1,1,0.007761746644973755,0.029888549447059633,0.3055340051651001,0.19233702421188353,0.05641874670982361,0.06114791631698609,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.022126802802085878
481,0.1,1,0.03112092614173889,0.002962017059326172,0.2625476121902466,0.07404675483703613,0.08189600706100464,0.01823950409889221,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.02815890908241272
602,0.1,9,0.10789892077445984,0.018218500912189482,0.23846983909606934,0.12151834964752198,0.07738015055656433,0.025261293351650237,537,51.2,0,0.0,0,0.0,0,0.0,0,0.2,0.08968041986227035
48,0.1,1,0.0901305079460144,0.04580339789390564,0.25946933031082153,0.2070545196533203,0.09831631183624268,0.04934471845626831,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.044327110052108765
192,0.1,1,0.002934962511062622,0.011972302198410034,0.3062833547592163,0.20995723009109496,0.004707112908363342,0.013673990964889526,1,2.2,1,0.6,0,0.4,1,0.8,1,1.0,-0.009037339687347412
576,0.1,1,0.003102809190750122,-0.007209497690200806,0.3097955584526062,0.09008002281188965,0.12155315279960632,0.024113184213638304,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.010312306880950927
350,0.1,1,0.12785036861896515,0.013283777236938476,0.518698513507843,0.0858727216720581,0.31358152627944946,0.03560583591461182,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.11456659138202667
527,0.1,1,0.046544790267944336,-0.0013365447521209717,0.27855682373046875,0.11506317853927613,0.06868934631347656,0.03785237669944763,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04788133502006531
