query_id,window_y,window_x,attention_score,margin_drop,positive_similarity_drop,descriptor_drift,rank_degradation,clean_hit_at_1,clean_rank,perturbed_rank,clean_margin,perturbed_margin,mask_tokens,mask_pixels
250,2,0,0.0006093443371355534,0.0017997920513153076,-0.0004845559597015381,0.0015615224838256836,0,1,1,1,0.04944068193435669,0.04764088988304138,4,784
250,2,1,0.0006925199995748699,-0.0006903111934661865,0.0004399716854095459,0.0013847947120666504,0,1,1,1,0.04944068193435669,0.050130993127822876,4,784
250,2,2,0.00115367048420012,-0.0004982352256774902,0.0019431114196777344,0.0015614628791809082,0,1,1,1,0.04944068193435669,0.04993891716003418,4,784
250,2,3,0.0016407384537160397,-0.0008174777030944824,0.0010052323341369629,0.0025037527084350586,0,1,1,1,0.04944068193435669,0.05025815963745117,4,784
250,2,4,0.0013437095331028104,-0.0010530948638916016,0.0003814697265625,0.002301931381225586,0,1,1,1,0.04944068193435669,0.05049377679824829,4,784
250,2,5,0.0009070925880223513,0.0010716617107391357,0.00032278895378112793,0.0009473562240600586,0,1,1,1,0.04944068193435669,0.048369020223617554,4,784
250,2,6,0.0008031403413042426,0.0019125640392303467,0.002860039472579956,0.0016074180603027344,0,1,1,1,0.04944068193435669,0.04752811789512634,4,784
250,2,7,0.0009838278638198972,0.0016871094703674316,0.0014064908027648926,0.001584768295288086,0,1,1,1,0.04944068193435669,0.04775357246398926,4,784
250,2,8,0.0009362939745187759,0.000947117805480957,-5.46574592590332e-05,0.0006519556045532227,0,1,1,1,0.04944068193435669,0.04849356412887573,4,784
250,2,9,0.000639280304312706,6.92903995513916e-05,-6.556510925292969e-05,0.0005205869674682617,0,1,1,1,0.04944068193435669,0.0493713915348053,4,784
250,2,10,0.0004781825700774789,-0.0007658898830413818,-0.0005210638046264648,0.00037091970443725586,0,1,1,1,0.04944068193435669,0.05020657181739807,4,784
250,2,11,0.0003956097352784127,-0.0010578632354736328,-0.0008570551872253418,0.0002778768539428711,0,1,1,1,0.04944068193435669,0.05049854516983032,4,784
250,2,12,0.0004115672199986875,-0.0013719499111175537,-0.00021961331367492676,0.0003324747085571289,0,1,1,1,0.04944068193435669,0.05081263184547424,4,784
250,2,13,0.0005887458100914955,-0.0018783509731292725,-0.00029754638671875,0.0004925131797790527,0,1,1,1,0.04944068193435669,0.05131903290748596,4,784
250,2,14,0.0007385918288491666,-0.001686394214630127,0.0013112425804138184,0.0004591941833496094,0,1,1,1,0.04944068193435669,0.051127076148986816,4,784
250,2,15,0.0007318838033825159,-0.001013338565826416,0.0022652745246887207,0.0006713271141052246,0,1,1,1,0.04944068193435669,0.050454020500183105,4,784
250,2,16,0.0008124031010083854,-0.0006493926048278809,5.078315734863281e-05,0.001177370548248291,0,1,1,1,0.04944068193435669,0.05009007453918457,4,784
250,2,17,0.0012396472739055753,-0.00011754035949707031,0.00011640787124633789,0.001097559928894043,0,1,1,1,0.04944068193435669,0.04955822229385376,4,784
250,2,18,0.0012426056200638413,0.00022345781326293945,0.0010347366333007812,0.0011592507362365723,0,1,1,1,0.04944068193435669,0.04921722412109375,4,784
250,2,19,0.000653364579193294,-0.0019491016864776611,-0.000410228967666626,0.0012311935424804688,0,1,1,1,0.04944068193435669,0.05138978362083435,4,784
250,2,20,0.00038196734385564923,-0.0016974806785583496,0.00022280216217041016,0.0010644197463989258,0,1,1,1,0.04944068193435669,0.05113816261291504,4,784
250,2,21,0.0003571465495042503,0.000424116849899292,0.0007915198802947998,0.0008729696273803711,0,1,1,1,0.04944068193435669,0.0490165650844574,4,784
250,3,0,0.0009880665456876159,0.0020234882831573486,0.001238703727722168,0.0031203627586364746,0,1,1,1,0.04944068193435669,0.04741719365119934,4,784
250,3,1,0.0009516568970866501,0.0003612935543060303,0.001452028751373291,0.001983046531677246,0,1,1,1,0.04944068193435669,0.04907938838005066,4,784
250,3,2,0.0009484534966759384,-0.0005932152271270752,-0.00021508336067199707,0.0014177560806274414,0,1,1,1,0.04944068193435669,0.050033897161483765,4,784
250,3,3,0.0011003219988197088,-0.0010073184967041016,0.0012159645557403564,0.0014237165451049805,0,1,1,1,0.04944068193435669,0.05044800043106079,4,784
250,3,4,0.0009393258951604366,-0.0009267628192901611,0.0008220970630645752,0.0020084381103515625,0,1,1,1,0.04944068193435669,0.05036744475364685,4,784
250,3,5,0.0006624582456424832,0.0006011724472045898,-0.00023406744003295898,0.0008529424667358398,0,1,1,1,0.04944068193435669,0.0488395094871521,4,784
