query_id,n_windows,spearman,spearman_defined,undefined_reason,tail_k,top_mean_damage,bottom_mean_damage,top_minus_bottom_damage,attention_max_window_y,attention_max_window_x,attention_max_ties,attention_max_damage,attention_max_damage_percentile,negative_damage_window_fraction,clean_hit_at_1,token_h,token_w,variant_forward_calls,max_variant_batch,min_variant_batch,clean_margin_delta_vs_source
497,484,0.2820355228488556,True,,48,0.0043157463272412615,-0.001133800173799197,0.005449546501040459,12,11,1,0.01031506061553955,93.7888198757764,0.44008264462809915,1,23,23,16,32,4,-2.682209014892578e-07
592,484,-0.005852226556371879,True,,48,0.0006466582417488098,9.660919507344563e-05,0.0005500490466753641,12,10,1,0.002511262893676758,91.09730848861284,0.40702479338842973,1,23,23,16,32,4,2.3841857917095144e-07
105,484,0.2795367169686541,True,,48,0.005610755955179532,7.849248747030894e-05,0.005532263467709223,11,12,1,0.005962878465652466,91.92546583850931,0.33884297520661155,1,23,23,16,32,4,-2.6822090141986887e-07
119,484,0.24040659230749278,True,,48,0.002914858361085256,0.00036333128809928894,0.002551527072985967,12,10,1,0.0043537914752960205,82.40165631469979,0.27479338842975204,1,23,23,16,32,4,-8.940696710757479e-08
633,484,0.5451597973907383,True,,48,0.01793794333934784,3.709519902865092e-05,0.017900848140319187,14,8,1,0.07745230197906494,99.79296066252589,0.4194214876033058,1,23,23,16,32,4,-1.4901161193847656e-07
266,484,0.2578258382341345,True,,48,0.004742410654822986,0.00014680313567320505,0.00459560751914978,14,12,1,0.0005871057510375977,60.24844720496895,0.3450413223140496,1,23,23,16,32,4,-2.3841857907380692e-07
674,484,0.08035691133364414,True,,48,0.009476477280259132,0.0003722943365573883,0.009104182943701744,10,10,1,0.0008015930652618408,64.59627329192547,0.41735537190082644,1,23,23,16,32,4,1.7881393432617188e-07
394,484,0.15131566605250762,True,,48,0.002847336853543917,-7.137035330136617e-05,0.0029187072068452835,13,9,1,-0.0008835196495056152,24.22360248447205,0.4524793388429752,1,23,23,16,32,4,-1.4901161193847656e-07
616,484,0.11264811848520974,True,,48,0.004291139853497346,0.000176787997285525,0.004114351856211821,9,10,1,0.0031488239765167236,83.64389233954451,0.40082644628099173,1,23,23,16,32,4,2.3841857915707365e-07
112,484,0.07830876392670111,True,,48,0.0034595485776662827,0.0013702760140101116,0.002089272563656171,11,12,1,-0.0023629069328308105,12.008281573498964,0.38016528925619836,1,23,23,16,32,4,2.0861625674162276e-07
397,484,0.17709383237275333,True,,48,0.004585395256678264,0.000343070055047671,0.004242325201630592,15,7,1,-0.012477606534957886,1.4492753623188406,0.29132231404958675,1,23,23,16,32,4,-4.4703483573216296e-07
464,484,0.2964365490668412,True,,48,0.010732495846847693,-0.0002624861275156339,0.010994981974363327,12,13,1,0.002732798457145691,80.5383022774327,0.390495867768595,1,23,23,16,32,4,-1.043081283569336e-07
693,484,0.2737585709999222,True,,48,0.004502896840373675,-0.0006279610097408295,0.005130857850114505,8,10,1,0.011899709701538086,96.68737060041408,0.5681818181818182,1,23,23,16,32,4,2.980232245014536e-08
349,484,0.1744567400327149,True,,48,0.010088069985310236,0.00017864815890789032,0.009909421826402346,12,12,1,-0.03500378131866455,0.0,0.44214876033057854,1,23,23,16,32,4,4.172325134832455e-07
487,484,0.24238367710075637,True,,48,0.012062723437945047,-0.0009377294530471166,0.013000452890992165,12,10,1,0.007925927639007568,86.95652173913044,0.6570247933884298,1,23,23,16,32,4,-1.7881393432617188e-07
733,484,0.16531688025922164,True,,48,-0.0006957718481620153,-9.450068076451619e-05,-0.0006012711673974991,14,13,1,-0.014309525489807129,0.6211180124223602,0.41735537190082644,1,23,23,16,32,4,2.0861625676937834e-07
471,484,-0.2217288111016973,True,,48,-0.0037491945549845695,0.0003896156946818034,-0.004138810249666373,8,10,1,-0.005359068512916565,9.937888198757763,0.5268595041322314,0,23,23,16,32,4,5.9604644719879474e-08
687,484,0.34954238651624053,True,,48,0.011385478700200716,-2.8679768244425457e-05,0.011414158468445141,10,9,1,0.016118109226226807,94.40993788819875,0.4049586776859504,1,23,23,16,32,4,-5.960464477539063e-08
253,484,0.3257631411414875,True,,48,0.004903160656491916,0.0006494832535584768,0.004253677402933439,12,9,1,0.004668205976486206,85.09316770186335,0.32231404958677684,1,23,23,16,32,4,5.960464477539063e-08
333,484,0.13119026710112652,True,,48,-0.001469961057106654,0.00018107394377390543,-0.0016510350008805594,8,10,1,-0.02347990870475769,0.2070393374741201,0.39462809917355374,1,23,23,16,32,4,1.4901161193847656e-07
34,484,-0.2573342146220186,True,,48,-0.005655878533919652,0.0009928401559591293,-0.006648718689878781,15,11,1,-0.022808611392974854,0.4140786749482402,0.39669421487603307,0,23,23,16,32,4,-4.470348362317633e-08
290,484,0.1371140900173947,True,,48,-0.00067714291314284,-0.001027749851346016,0.0003506069382031759,14,9,1,-0.023978620767593384,0.0,0.5661157024793388,1,23,23,16,32,4,2.980232246575787e-08
110,484,0.018632376633229652,True,,48,-0.0035893886039654412,0.001151896392305692,-0.004741284996271133,13,12,1,-0.022762000560760498,0.4140786749482402,0.3202479338842975,1,23,23,16,32,4,-2.98023223821442e-07
301,484,0.17689845299967133,True,,48,0.005596379439036052,0.0003814219186703364,0.005214957520365715,10,9,1,0.03588572144508362,99.79296066252589,0.4132231404958678,1,23,23,16,32,4,-3.5762786865234375e-07
489,484,0.3418791875985959,True,,48,0.020549653718868893,1.0599071780840555e-05,0.02053905464708805,12,9,1,0.01438528299331665,92.33954451345755,0.3677685950413223,1,23,23,16,32,4,-5.066394805353092e-07
154,484,0.4613746304223464,True,,48,0.006860772458215554,-0.0008774859209855398,0.007738258379201094,12,12,1,-0.011270731687545776,0.2070393374741201,0.5247933884297521,1,23,23,16,32,4,-2.9802322290550798e-08
481,484,-0.09880988983715032,True,,48,0.003601390247543653,0.0007647431145111719,0.002836647133032481,13,14,1,-0.009773850440979004,1.8633540372670807,0.4318181818181818,1,23,23,16,32,4,-2.9802322387695312e-08
602,484,0.04504373015843615,True,,48,0.0053822691552340984,8.388515561819077e-05,0.005298383999615908,11,13,1,-0.00583900511264801,4.968944099378882,0.5206611570247934,0,23,23,16,32,4,7.450580591372713e-08
48,484,0.23636511811402808,True,,48,0.007794324308633804,-0.0008236207067966461,0.00861794501543045,12,12,1,0.022791802883148193,98.13664596273291,0.5950413223140496,1,23,23,16,32,4,1.7881393432617188e-07
192,484,-0.07209403611343222,True,,48,-0.005050612923999627,8.479909350474675e-05,-0.005135412017504374,9,12,1,0.00032329559326171875,51.5527950310559,0.4194214876033058,1,23,23,16,32,4,-2.9802322288165553e-08
576,484,0.01083783988311106,True,,48,0.0011019259691238403,0.00011356920003890991,0.0009883567690849304,12,8,1,0.015418678522109985,98.55072463768116,0.5971074380165289,1,23,23,16,32,4,-1.1920928947445342e-07
350,484,0.373752124691204,True,,48,0.009584608798225721,-0.0002236651877562205,0.009808273985981941,11,12,1,-0.006519734859466553,1.2422360248447204,0.493801652892562,1,23,23,16,32,4,-1.1920928955078125e-07
527,484,0.17534600194638494,True,,48,0.0024170074611902237,-0.0006236042827367783,0.003040611743927002,13,11,1,0.011933505535125732,97.30848861283644,0.6322314049586777,1,23,23,16,32,4,2.7755575615628914e-17
