comparison,query_id,mask_ratio,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10
attention_raw_topk-minus-attention_connected,686,0.1,0.1864473819732666,0.1864473819732666,0.45715367794036865,0.45715367794036865,0.18624860048294067,0.18624860048294067,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,567,0.1,0.04497900605201721,0.028828978538513184,0.2730620503425598,0.29089856147766113,0.13669759035110474,0.1788022816181183,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,343,0.1,0.05752494931221008,0.0779363214969635,0.2083193063735962,0.2320089340209961,0.06485724449157715,0.07984751462936401,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,482,0.1,0.04355001449584961,0.04985952377319336,0.3293439745903015,0.3288164734840393,0.11366945505142212,0.12113738059997559,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,689,0.1,0.07661005854606628,0.08701065182685852,0.33723604679107666,0.34424781799316406,0.16329526901245117,0.15920090675354004,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,129,0.1,0.025819510221481323,0.030063942074775696,0.27652156352996826,0.29198604822158813,0.019875288009643555,0.017656907439231873,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,334,0.1,0.11768724024295807,0.13843630254268646,0.4208441972732544,0.4236871004104614,0.2225361466407776,0.23960810899734497,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,242,0.1,0.0013135075569152832,-0.02032729983329773,0.39906924962997437,0.3631914258003235,0.1465338170528412,0.1282179355621338,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,211,0.1,0.09535476565361023,0.0781269371509552,0.3270413279533386,0.33063626289367676,0.11345183849334717,0.11443924903869629,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,315,0.1,0.019914716482162476,0.028020113706588745,0.11470240354537964,0.11542457342147827,-0.03631475567817688,-0.017708808183670044,0,0,0,0,0,0,0,0,0,0
attention_raw_topk-minus-attention_connected,332,0.1,0.006872743368148804,0.0123215913772583,0.3084806203842163,0.2819252014160156,-0.016508758068084717,0.0028683245182037354,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,544,0.1,0.10865429043769836,0.1406872272491455,0.30006271600723267,0.3085983991622925,0.12727725505828857,0.14183223247528076,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,43,0.1,0.051187336444854736,0.06804601848125458,0.2930030822753906,0.30058562755584717,0.06712979078292847,0.08638513088226318,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,36,0.1,0.08130425214767456,0.09528672695159912,0.27672433853149414,0.2675926685333252,0.16446873545646667,0.16511213779449463,2,3,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,245,0.1,0.23817330598831177,0.2191009819507599,0.35759568214416504,0.34957772493362427,0.23834848403930664,0.24205219745635986,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,624,0.1,0.05892053246498108,0.06195762753486633,0.21631407737731934,0.24071508646011353,0.05696031451225281,0.06566885113716125,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,163,0.1,0.0005323886871337891,-0.01425081491470337,0.3721799850463867,0.3724960684776306,0.05575186014175415,0.05635526776313782,2,-1,0,0,0,1,1,1,1,1
attention_raw_topk-minus-attention_connected,307,0.1,0.011467263102531433,-0.002494409680366516,0.3617057800292969,0.32673656940460205,0.03681555390357971,0.02239862084388733,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,525,0.1,0.10633444786071777,0.09547662734985352,0.25584399700164795,0.24105507135391235,0.1229848861694336,0.11203378438949585,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,512,0.1,0.030856341123580933,-0.004798263311386108,0.27089452743530273,0.2618408203125,0.05735200643539429,0.030051857233047485,0,0,0,0,1,1,1,1,1,1
