query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference,mask_mode,baseline,attention_condition
192,0.1,1,0.0029349029064178467,0.011972284317016602,0.3062833547592163,0.20995720624923705,0.004707083106040955,0.013673970103263855,1,2.2,1,0.6,0,0.4,1,0.8,1,1.0,-0.009037381410598755,connected_topk,random_pixel,attention_connected
576,0.1,1,0.0031028389930725098,-0.007209485769271851,0.3097955584526062,0.09008005857467652,0.12155318260192871,0.024113190174102784,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.01031232476234436,connected_topk,random_pixel,attention_connected
350,0.1,1,0.12785030901432037,0.013283723592758178,0.518698513507843,0.08587273359298705,0.3135814964771271,0.03560580015182495,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.1145665854215622,connected_topk,random_pixel,attention_connected
527,0.1,1,0.04654476046562195,-0.0013365328311920166,0.27855682373046875,0.11506321430206298,0.06868934631347656,0.03785241842269897,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04788129329681397,connected_topk,random_pixel,attention_connected
152,0.1,1,-0.02551037073135376,-0.0001962006092071533,0.35106682777404785,0.20941926240921022,0.1202247142791748,0.06074493527412415,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.025314170122146606,connected_topk,random_pixel,attention_connected
66,0.1,3,-0.06513680517673492,-0.004354369640350342,0.28641319274902344,0.10313942432403564,0.023794367909431458,0.015139532089233399,-2,-0.4,0,0.0,1,0.0,1,1.0,1,1.0,-0.060782435536384585,connected_topk,random_pixel,attention_connected
355,0.1,1,0.04915502667427063,0.0036848366260528566,0.3643307089805603,0.10918300151824951,0.19063565135002136,0.0351982593536377,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04547019004821777,connected_topk,random_pixel,attention_connected
589,0.1,1,0.07390928268432617,0.03934327960014343,0.35468852519989014,0.17459523677825928,0.09581899642944336,0.04295902252197266,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.03456600308418274,connected_topk,random_pixel,attention_connected
241,0.1,18,-0.028969526290893555,-0.019216355681419373,0.24943101406097412,0.12501200437545776,0.03759142756462097,0.012276604771614075,0,-5.0,0,0.0,0,0.0,0,0.0,0,0.0,-0.009753170609474181,connected_topk,random_pixel,attention_connected
234,0.1,1,0.03282301127910614,0.037070590257644656,0.4513017535209656,0.12715561389923097,0.0999758243560791,0.05167689919471741,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.004247578978538516,connected_topk,random_pixel,attention_connected
542,0.1,1,0.12498149275779724,0.01571860909461975,0.43982434272766113,0.1647030830383301,0.14805766940116882,0.029263514280319213,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.10926288366317749,connected_topk,random_pixel,attention_connected
22,0.1,1,0.10142743587493896,0.04514795541763306,0.3237230181694031,0.17831995487213134,0.1735069751739502,0.0657683789730072,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05627948045730591,connected_topk,random_pixel,attention_connected
474,0.1,1,0.16518092155456543,0.07615723013877869,0.3651368021965027,0.22776714563369752,0.22411179542541504,0.13522120714187622,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08902369141578674,connected_topk,random_pixel,attention_connected
658,0.1,1,0.16746506094932556,0.042682725191116336,0.31084340810775757,0.1408887267112732,0.1965961754322052,0.07763711810111999,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.12478233575820923,connected_topk,random_pixel,attention_connected
313,0.1,1,0.007118344306945801,0.013836503028869629,0.2470608949661255,0.17185523509979247,0.052982211112976074,0.03435578942298889,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.006718158721923828,connected_topk,random_pixel,attention_connected
250,0.15,1,0.02647167444229126,0.01824418902397156,0.42111068964004517,0.338288414478302,0.11447462439537048,0.08220637440681458,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.008227485418319701,connected_topk,random_pixel,attention_connected
190,0.15,1,0.07157358527183533,0.01786954402923584,0.4637412428855896,0.17834819555282594,0.29541024565696716,0.09414066672325135,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05370404124259949,connected_topk,random_pixel,attention_connected
